project,iso2,year,month,pageviews_ceil
so.wikipedia,KE,2022,7,12000
so.wikipedia,NL,2022,7,9000
so.wikipedia,SE,2022,7,9000
so.wikipedia,FR,2022,7,8000
so.wikipedia,TR,2022,7,7000
so.wikipedia,BE,2022,7,7000
so.wikipedia,ID,2022,7,6000
so.wikipedia,SG,2022,7,5000
so.wikipedia,FI,2022,7,5000
so.wikipedia,NO,2022,7,4000
so.wikipedia,VN,2022,7,4000
so.wikipedia,IT,2022,7,4000
so.wikipedia,AU,2022,7,4000
so.wikipedia,UZ,2022,7,3000
so.wikipedia,UG,2022,7,3000
so.wikipedia,PK,2022,7,3000
so.wikipedia,ZA,2022,7,3000
so.wikipedia,JP,2022,7,3000
so.wikipedia,KZ,2022,7,3000
so.wikipedia,SA,2022,7,2000
so.wikipedia,DK,2022,7,2000
so.wikipedia,AT,2022,7,2000
so.wikipedia,UA,2022,7,2000
so.wikipedia,BY,2022,7,2000
so.wikipedia,DJ,2022,7,2000
so.wikipedia,HK,2022,7,2000
so.wikipedia,NG,2022,7,2000
so.wikipedia,TW,2022,7,2000
so.wikipedia,PL,2022,7,2000
so.wikipedia,CH,2022,7,2000
so.wikipedia,--,2022,7,2000
so.wikipedia,MY,2022,7,2000
so.wikipedia,KR,2022,7,2000
so.wikipedia,EG,2022,7,2000
so.wikipedia,BR,2022,7,2000
so.wikipedia,AE,2022,7,1000
so.wikipedia,PH,2022,7,1000
so.wikipedia,BD,2022,7,1000
so.wikipedia,IE,2022,7,1000
so.wikipedia,ES,2022,7,1000
so.wikipedia,GE,2022,7,1000
so.wikipedia,GR,2022,7,1000
so.wikipedia,IR,2022,7,1000
so.wikipedia,TH,2022,7,1000
so.wikipedia,TJ,2022,7,1000
so.wikipedia,SS,2022,7,1000
so.wikipedia,SI,2022,7,1000
so.wikipedia,MA,2022,7,1000
so.wikipedia,EE,2022,7,1000
so.wikipedia,QA,2022,7,1000
so.wikipedia,SD,2022,7,1000
so.wikipedia,CO,2022,7,1000
so.wikipedia,CY,2022,7,1000
so.wikipedia,CZ,2022,7,1000
so.wikipedia,MX,2022,7,1000
so.wikipedia,RO,2022,7,1000
so.wikipedia,KG,2022,7,1000
so.wikipedia,HN,2022,7,1000
so.wikipedia,MM,2022,7,1000
so.wikipedia,MT,2022,7,1000
so.wikipedia,SC,2022,7,1000
so.wikipedia,IL,2022,7,1000
so.wikipedia,CN,2022,7,1000
so.wikipedia,SK,2022,7,1000
so.wikipedia,RS,2022,7,1000
so.wikipedia,KW,2022,7,1000
so.wikipedia,PE,2022,7,1000
so.wikipedia,NZ,2022,7,1000
so.wikipedia,LV,2022,7,1000
so.wikipedia,LT,2022,7,1000
so.wikipedia,KH,2022,7,1000
so.wikipedia,MD,2022,7,1000
so.wikipedia,ZM,2022,7,1000
so.wikipedia,DZ,2022,7,1000
so.wikipedia,MZ,2022,7,1000
so.wikipedia,YE,2022,7,1000
so.wikipedia,MN,2022,7,1000
so.wikipedia,IQ,2022,7,1000
so.wikipedia,AZ,2022,7,1000
so.wikipedia,HU,2022,7,1000
so.wikipedia,TZ,2022,7,1000
so.wikipedia,BG,2022,7,1000
so.wikipedia,AR,2022,7,1000
so.wikipedia,CL,2022,7,1000
so.wikipedia,PT,2022,7,1000
so.wikipedia,MU,2022,7,1000
so.wikipedia,LK,2022,7,1000
so.wikipedia,NP,2022,7,1000
so.wikipedia,LY,2022,7,1000
so.wikipedia,AF,2022,7,1000
so.wikipedia,AM,2022,7,1000
so.wikipedia,TM,2022,7,1000
so.wikipedia,OM,2022,7,1000
so.wikipedia,JO,2022,7,1000
so.wikipedia,AO,2022,7,1000
so.wikipedia,HR,2022,7,1000
so.wikipedia,IS,2022,7,1000
so.wikipedia,TN,2022,7,1000
so.wikipedia,SO,2022,8,183000
so.wikipedia,US,2022,8,96000
so.wikipedia,CA,2022,8,25000
so.wikipedia,RU,2022,8,19000
so.wikipedia,ET,2022,8,19000
so.wikipedia,GB,2022,8,16000
so.wikipedia,KE,2022,8,13000
so.wikipedia,DE,2022,8,13000
so.wikipedia,NL,2022,8,13000
so.wikipedia,BE,2022,8,10000
so.wikipedia,SE,2022,8,9000
so.wikipedia,SG,2022,8,9000
so.wikipedia,FR,2022,8,8000
so.wikipedia,TR,2022,8,7000
so.wikipedia,IN,2022,8,7000
so.wikipedia,AU,2022,8,6000
so.wikipedia,NO,2022,8,5000
